Column,Data_Type,Null_Count,Null_Pct,Unique_Count,Min_Value,Max_Value,Sample_Values
order_id,string,0,0.0,99441,00010242fe8c5a6d1ba2dd792cb16214,fffe41c64501cc87c801fd61db3f6244,"['2784fdf3979afc4cd82afec122d81c9f', '7f97f025c45cac922275120fdee4e062', '3c0b25021f8a09b27020c445b8c9036a']"
customer_id,string,0,0.0,99441,00012a2ce6f8dcda20d059ce98491703,ffffe8b65bbe3087b653a978c870db99,"['44f010e6ff5ff2aea3e6c823937c8008', 'c206e6f4294cc8497a079fc15e27cc31', '460f33177a25662d12fb9affe654e6d1']"
order_status,category,0,0.0,8,N/A,N/A,"['delivered', 'delivered', 'delivered']"
order_purchase_timestamp,datetime64[us],0,0.0,98875,2016-09-04 21:15:19,2018-10-17 17:30:18,"[Timestamp('2018-03-07 09:16:05'), Timestamp('2017-11-01 14:16:05'), Timestamp('2017-08-24 07:55:40')]"
order_approved_at,datetime64[us],161,0.1419440158695173,90733,2016-09-15 12:16:38,2018-09-03 17:40:06,"[Timestamp('2017-10-06 08:49:20'), Timestamp('2017-07-06 20:43:20'), Timestamp('2018-07-31 20:04:11')]"
order_delivered_carrier_date,datetime64[us],1968,1.7350672250385717,81018,2016-10-08 10:34:01,2018-09-11 19:48:28,"[Timestamp('2018-05-16 11:17:00'), Timestamp('2017-12-05 00:32:36'), Timestamp('2017-10-16 21:56:54')]"
order_delivered_customer_date,datetime64[us],3229,2.846815076041437,95664,2016-10-11 13:46:32,2018-10-17 13:22:46,"[Timestamp('2017-05-22 09:46:41'), Timestamp('2018-04-30 21:47:29'), Timestamp('2018-04-10 21:03:31')]"
order_estimated_delivery_date,datetime64[us],0,0.0,459,2016-09-30 00:00:00,2018-11-12 00:00:00,"[Timestamp('2017-12-18 00:00:00'), Timestamp('2017-12-05 00:00:00'), Timestamp('2018-05-04 00:00:00')]"
order_item_id,float64,775,0.6832708838439497,21,1.0,21.0,"[1.0, 1.0, 1.0]"
product_id,string,775,0.6832708838439497,32951,00066f42aeeb9f3007548bb9d3f33c38,fffe9eeff12fcbd74a2f2b007dde0c58,"['974d9d3338a9d3d2b96ac5d5d9379968', '49e142d8098b20ff2dc9ec73cdd5afec', 'e1e932dfb67414e80b87ad97688cf2a3']"
seller_id,string,775,0.6832708838439497,3095,0015a82c2db000af6aaaf3ae2ecb0532,ffff564a4f9085cd26170f4732393726,"['ad8ada0ffa993cb1197d102d9ab21a3e', '955fee9216a65b617aa5c0531780ce60', '8f580d36c1e9d6fbce95283403c7d447']"
shipping_limit_date,datetime64[us],775,0.6832708838439497,93318,2016-09-19 00:15:34,2020-04-09 22:35:08,"[Timestamp('2018-08-24 16:35:19'), Timestamp('2017-09-03 21:25:14'), Timestamp('2017-12-26 18:52:31')]"
price,float64,775,0.6832708838439497,5968,0.85,6735.0,"[110.32, 339.0, 49.0]"
freight_value,float64,775,0.6832708838439497,6999,0.0,409.68,"[42.58, 18.16, 20.44]"
payment_value,float64,3,0.0026449195503636764,27979,0.0,13664.08,"[28.75, 40.09, 38.13]"
review_score,float64,961,0.8472558959664978,5,1.0,5.0,"[5.0, 1.0, 2.0]"
customer_unique_id,string,0,0.0,96096,0000366f3b9a7992bf8c76cfdf3221e2,ffffd2657e2aad2907e67c3e9daecbeb,"['55028e8e2480d63481e17e2966920266', '6f83fa1673d2d55b274eebce33da1698', 'a6f97488cd4b3fafd5f15aaf7ca1a545']"
customer_zip_code_prefix,string,0,0.0,14994,01003,99990,"['29927', '13561', '76440']"
customer_city,string,0,0.0,4119,abadia dos dourados,zortea,"['guaruja', 'itaberai', 'sao jose dos campos']"
customer_state,string,0,0.0,27,AC,TO,"['PE', 'SP', 'SP']"
product_category_name,string,2378,2.096539563588274,73,agro_industria_e_comercio,utilidades_domesticas,"['bebes', 'papelaria', 'beleza_saude']"
product_name_lenght,float64,2378,2.096539563588274,66,5.0,76.0,"[54.0, 59.0, 42.0]"
product_description_lenght,float64,2378,2.096539563588274,2960,4.0,3992.0,"[390.0, 1782.0, 348.0]"
product_photos_qty,float64,2378,2.096539563588274,19,1.0,20.0,"[2.0, 4.0, 4.0]"
product_weight_g,float64,793,0.6991404011461317,2204,0.0,40425.0,"[200.0, 15467.0, 9700.0]"
product_length_cm,float64,793,0.6991404011461317,99,7.0,105.0,"[21.0, 50.0, 22.0]"
product_height_cm,float64,793,0.6991404011461317,102,2.0,105.0,"[2.0, 4.0, 10.0]"
product_width_cm,float64,793,0.6991404011461317,95,6.0,118.0,"[15.0, 24.0, 23.0]"
product_category_name_english,string,2402,2.1176989199911835,71,agro_industry_and_commerce,watches_gifts,"['cool_stuff', 'health_beauty', 'computers_accessories']"
seller_zip_code_prefix,string,775,0.6832708838439497,2246,01001,99730,"['38408', '33940', '14050']"
seller_city,string,775,0.6832708838439497,611,04482255,xaxim,"['salto', 'niteroi', 'americana']"
seller_state,string,775,0.6832708838439497,23,AC,SP,"['SP', 'SP', 'SC']"
