Column,Data_Type,Null_Count,Null_Pct,Unique_Count,Min_Value,Max_Value,Sample_Values
order_id,string,0,0.0,99441,00010242fe8c5a6d1ba2dd792cb16214,fffe41c64501cc87c801fd61db3f6244,"['25807a51c61f06771f0f60e39ca18c34', '75979ee68f846e2cb2439240380d5291', '03c810bce9d261d4d0447b895189dc16']"
customer_id,string,0,0.0,99441,00012a2ce6f8dcda20d059ce98491703,ffffe8b65bbe3087b653a978c870db99,"['94f0918c41a1cdc9d5e4264273cd114f', 'fd34f9db23889bc5517d189546e18ad5', 'c21ed416cfe35be3485f1f83d9632b3b']"
order_status,category,0,0.0,8,N/A,N/A,"['delivered', 'delivered', 'delivered']"
order_purchase_timestamp,datetime64[us],0,0.0,98875,2016-09-04 21:15:19,2018-10-17 17:30:18,"[Timestamp('2017-07-30 20:51:02'), Timestamp('2018-07-02 21:51:28'), Timestamp('2018-04-16 13:07:56')]"
order_approved_at,datetime64[us],161,0.1419440158695173,90733,2016-09-15 12:16:38,2018-09-03 17:40:06,"[Timestamp('2017-10-10 03:49:35'), Timestamp('2017-07-11 04:15:30'), Timestamp('2018-07-20 05:03:23')]"
order_delivered_carrier_date,datetime64[us],1968,1.7350672250385717,81018,2016-10-08 10:34:01,2018-09-11 19:48:28,"[Timestamp('2018-01-25 00:44:31'), Timestamp('2017-04-27 15:48:11'), Timestamp('2018-07-25 15:09:00')]"
order_delivered_customer_date,datetime64[us],3229,2.846815076041437,95664,2016-10-11 13:46:32,2018-10-17 13:22:46,"[Timestamp('2017-12-09 18:25:43'), Timestamp('2018-06-14 19:25:34'), Timestamp('2017-09-22 16:38:43')]"
order_estimated_delivery_date,datetime64[us],0,0.0,459,2016-09-30 00:00:00,2018-11-12 00:00:00,"[Timestamp('2018-04-11 00:00:00'), Timestamp('2017-12-14 00:00:00'), Timestamp('2017-11-01 00:00:00')]"
order_item_id,float64,775,0.6832708838439497,21,1.0,21.0,"[2.0, 1.0, 1.0]"
product_id,string,775,0.6832708838439497,32951,00066f42aeeb9f3007548bb9d3f33c38,fffe9eeff12fcbd74a2f2b007dde0c58,"['404a57563d487aecbc2b1a01d9b89aab', '8c8eb9eb2e47ade1a343cd00f81cbd52', '9c7bdf67b06b419aefb93cfdfc96c55d']"
seller_id,string,775,0.6832708838439497,3095,0015a82c2db000af6aaaf3ae2ecb0532,ffff564a4f9085cd26170f4732393726,"['620c87c171fb2a6dd6e8bb4dec959fc6', 'e5a3438891c0bfdb9394643f95273d8e', 'e439f7176d763f92de325271111b2fd5']"
shipping_limit_date,datetime64[us],775,0.6832708838439497,93318,2016-09-19 00:15:34,2020-04-09 22:35:08,"[Timestamp('2018-05-23 00:31:08'), Timestamp('2017-06-02 01:10:20'), Timestamp('2017-08-29 11:10:22')]"
price,float64,775,0.6832708838439497,5968,0.85,6735.0,"[38.9, 122.99, 94.9]"
freight_value,float64,775,0.6832708838439497,6999,0.0,409.68,"[8.29, 51.96, 19.88]"
payment_value,float64,3,0.0026449195503636764,27979,0.0,13664.08,"[144.11, 66.59, 380.74]"
review_score,float64,961,0.8472558959664978,5,1.0,5.0,"[3.0, 5.0, 5.0]"
customer_unique_id,string,0,0.0,96096,0000366f3b9a7992bf8c76cfdf3221e2,ffffd2657e2aad2907e67c3e9daecbeb,"['312759a8d9d7e7fae4997a9eec21d2ef', '99bf2e03eb1ef8f29fd57ad10fd75e48', '37f9711adee5be5ffdff5b728b8eb529']"
customer_zip_code_prefix,string,0,0.0,14994,01003,99990,"['11025', '13201', '93030']"
customer_city,string,0,0.0,4119,abadia dos dourados,zortea,"['sao caetano do sul', 'ivaipora', 'mage']"
customer_state,string,0,0.0,27,AC,TO,"['SP', 'DF', 'SP']"
product_category_name,string,2378,2.096539563588274,73,agro_industria_e_comercio,utilidades_domesticas,"['esporte_lazer', 'papelaria', 'perfumaria']"
product_name_lenght,float64,2378,2.096539563588274,66,5.0,76.0,"[44.0, 51.0, 54.0]"
product_description_lenght,float64,2378,2.096539563588274,2960,4.0,3992.0,"[869.0, 3725.0, 1061.0]"
product_photos_qty,float64,2378,2.096539563588274,19,1.0,20.0,"[2.0, 2.0, 3.0]"
product_weight_g,float64,793,0.6991404011461317,2204,0.0,40425.0,"[400.0, 300.0, 11600.0]"
product_length_cm,float64,793,0.6991404011461317,99,7.0,105.0,"[16.0, 16.0, 30.0]"
product_height_cm,float64,793,0.6991404011461317,102,2.0,105.0,"[41.0, 9.0, 20.0]"
product_width_cm,float64,793,0.6991404011461317,95,6.0,118.0,"[16.0, 11.0, 12.0]"
product_category_name_english,string,2402,2.1176989199911835,71,agro_industry_and_commerce,watches_gifts,"['housewares', 'computers_accessories', 'perfumery']"
seller_zip_code_prefix,string,775,0.6832708838439497,2246,01001,99730,"['09010', '14940', '04265']"
seller_city,string,775,0.6832708838439497,611,04482255,xaxim,"['campinas', 'sao paulo', 'ibitinga']"
seller_state,string,775,0.6832708838439497,23,AC,SP,"['SP', 'SP', 'SP']"
